Date,Category,UAH,Payment method
2023-10-06,General Donations,10.7,PayPal
2023-10-06,General Donations,31.11,PayPal
2023-10-06,Victory Drones,76.52,PayPal
2023-10-06,General Donations,41.31,PayPal
2023-10-06,General Donations,26.01,PayPal
2023-10-06,General Donations,26.01,PayPal
2023-10-06,General Donations,10.7,PayPal
2023-10-06,1000 Drones For Ukraine,11.83,PayPal
2023-10-06,General Donations,12.86,PayPal
2023-10-06,General Donations,77.02,PayPal
2023-10-06,General Donations,26.01,PayPal
2023-10-06,1000 Drones For Ukraine,61.72,PayPal
2023-10-06,General Donations,102.53,PayPal
2023-10-06,General Donations,51.52,PayPal
2023-10-06,General Donations,31.4,PayPal
2023-10-06,General Donations,51.52,PayPal
2023-10-06,Flight To Recovery,103.48,PayPal
2023-10-06,Victory Drones,103.48,PayPal
2023-10-06,Flight To Recovery,51.99,PayPal
2023-10-06,General Donations,10.0,PayPal
2023-10-06,1000 Drones For Ukraine,163.75,PayPal
2023-10-06,1000 Drones For Ukraine,150.0,PayPal
2023-10-06,General Donations,26.01,PayPal
2023-10-05,General Donations,25.0,Zelle
2023-10-04,General Donations,102.53,PayPal
2023-10-04,General Donations,21.1,PayPal
2023-10-04,Victory Drones,103.48,PayPal
2023-10-04,General Donations,10.8,PayPal
2023-10-04,General Donations,5.65,PayPal
2023-10-04,General Donations,26.25,PayPal
2023-10-04,General Donations,51.99,PayPal
2023-09-28,1000 Drones For Ukraine,100.0,PayPal
2023-09-27,General Donations,5.6,PayPal
2023-09-26,General Donations,1000.0,Deposit
2023-09-25,Mobile Shower Units,10.7,PayPal
2023-09-25,General Donations,15000.0,Deposit
2023-09-25,General Donations,145.0,Deposit
2023-09-25,General Donations,100.0,Deposit
2023-09-24,Flight To Recovery,51.52,PayPal
2023-09-24,1000 Drones For Ukraine,100.0,PayPal
2023-09-24,Victory Drones,102.53,PayPal
2023-09-24,1000 Drones For Ukraine,510.65,PayPal
2023-09-24,General Donations,306.59,PayPal
2023-09-24,Veteranius,31.11,PayPal
2023-09-23,General Donations,26.25,PayPal
2023-09-23,Victory Drones,10.8,PayPal
2023-09-23,General Donations,220.0,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,3.0,PayPal
2023-09-23,General Donations,5.0,PayPal
2023-09-23,General Donations,154.97,PayPal
2023-09-23,1000 Drones For Ukraine,103.48,PayPal
2023-09-23,General Donations,15.95,PayPal
2023-09-23,General Donations,72.59,PayPal
2023-09-23,General Donations,26.25,PayPal
2023-09-23,General Donations,500.0,PayPal
2023-09-23,General Donations,31.4,PayPal
2023-09-23,General Donations,20.0,PayPal
2023-09-23,General Donations,410.0,PayPal
2023-09-23,General Donations,41.69,PayPal
2023-09-23,1000 Drones For Ukraine,51.99,PayPal
2023-09-23,1000 Drones For Ukraine,20.0,PayPal
2023-09-23,1000 Drones For Ukraine,100.0,PayPal
2023-09-23,General Donations,20.0,PayPal
2023-09-23,Flight To Recovery,103.48,PayPal
2023-09-23,Victory Drones,103.48,PayPal
2023-09-23,General Donations,1030.26,PayPal
2023-09-23,General Donations,20.0,PayPal
2023-09-23,Mobile Shower Units,51.99,PayPal
2023-09-23,Victory Drones,103.48,PayPal
2023-09-23,1000 Drones For Ukraine,50.0,PayPal
2023-09-23,Flight To Recovery,51.99,PayPal
2023-09-23,Veteranius,53.02,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,1000 Drones For Ukraine,51.99,PayPal
2023-09-23,General Donations,20.0,PayPal
2023-09-23,General Donations,36.55,PayPal
2023-09-23,General Donations,21.1,PayPal
2023-09-23,General Donations,31.4,PayPal
2023-09-23,1000 Drones For Ukraine,103.48,PayPal
2023-09-23,General Donations,5.0,PayPal
2023-09-23,General Donations,100.0,PayPal
2023-09-23,General Donations,31.4,PayPal
2023-09-23,1000 Drones For Ukraine,206.46,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,515.38,PayPal
2023-09-23,General Donations,72.0,PayPal
2023-09-23,General Donations,20.0,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,20.0,PayPal
2023-09-23,General Donations,600.0,PayPal
2023-09-23,General Donations,26.25,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,Mobile Shower Units,51.99,PayPal
2023-09-23,General Donations,100.0,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,1030.26,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,General Donations,11.0,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,10.8,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,Victory Drones,206.46,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,1000 Drones For Ukraine,10.8,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,General Donations,31.4,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,General Donations,74.65,PayPal
2023-09-23,General Donations,72.0,PayPal
2023-09-23,General Donations,75.0,PayPal
2023-09-23,Mobile Shower Units,100.0,PayPal
2023-09-23,General Donations,75.77,PayPal
2023-09-23,General Donations,2.0,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,General Donations,10.0,PayPal
2023-09-23,General Donations,15.0,PayPal
2023-09-23,General Donations,25.0,PayPal
2023-09-23,General Donations,5.65,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,General Donations,20.0,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,General Donations,10.0,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,15.95,PayPal
2023-09-23,Victory Drones,300.0,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,Victory Drones,50.0,PayPal
2023-09-23,1000 Drones For Ukraine,103.48,PayPal
2023-09-23,General Donations,124.08,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,General Donations,103.48,PayPal
2023-09-23,General Donations,2.56,PayPal
2023-09-23,General Donations,26.25,PayPal
2023-09-23,General Donations,50.0,PayPal
2023-09-23,General Donations,51.99,PayPal
2023-09-23,General Donations,124.08,PayPal
2023-09-23,General Donations,25.0,PayPal
2023-09-23,Victory Drones,10.0,PayPal
2023-09-23,General Donations,15.95,PayPal
2023-09-23,General Donations,206.46,PayPal
